11:14,7.2,Crime,Greg Marcks,Henry Thomas,Colin Hanks,6000000,0,0,"Aug 12, 2005"
9,7.1,Animation,Shane Acker,Elijah Wood,Jennifer Connelly,30000000,31749894,48559999,"Sep 9, 2009"
21,6.8,Crime,Robert Luketic,Jim Sturgess,Kate Bosworth,35000000,81159365,159846429,"Mar 28, 2008"
31,5.1,Horror,Rob Zombie,Malcolm McDowell,Richard Brake,1500000,779820,922727,"Oct 21, 2016"
42,7.5,Biography,Brian Helgeland,Chadwick Boseman,T.R. Knight,31000000,95020213,97470701,"Apr 12, 2013"
300,7.7,Action,Zack Snyder,Gerard Butler,Lena Headey,60000000,210614939,454161935,"Mar 9, 2007"
1408,6.8,Fantasy,Mikael Hafstrom,John Cusack,Samuel L. Jackson,22500000,71985628,131263370,"Jun 22, 2007"
2012,5.8,Action,Roland Emmerich,John Cusack,Thandie Newton,200000000,166112167,757677748,"Nov 13, 2009"
2046,7.5,Drama,Kar-Wai Wong,Tony Chiu-Wai Leung,Ziyi Zhang,12000000,1442338,19287485,"Aug 5, 2005"
(500) Days of Summer,7.7,Comedy,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,7500000,32425665,34439060,"Jul 17, 2009"
[Rec],7.4,Horror,Paco Plaza,Jaume Balaguera,Ferran Terraza,2100000,0,23266821,"Jul 14, 2009"
10 Cloverfield Lane,7.2,Drama,Dan Trachtenberg,John Goodman,Mary Elizabeth Winstead,5000000,72082999,108286422,"Mar 11, 2016"
102 Dalmatians,4.9,Adventure,Kevin Lima,Glenn Close,Gerard Depardieu,85000000,66941559,66941559,"Nov 22, 2000"
12 Rounds,5.6,Action,Renny Harlin,John Cena,Ashley Scott,20000000,12234694,17306648,"Mar 27, 2009"
12 Strong,6.6,Action,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,35000000,45819713,71118378,"Jan 19, 2018"
12 Years a Slave,8.1,Biography,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,20000000,56671993,181025343,"Oct 18, 2013"
127 Hours,7.6,Biography,Danny Boyle,James Franco,Amber Tamblyn,18000000,18335230,60217171,"Nov 5, 2010"
13 Going on 30,6.1,Comedy,Gary Winick,Jennifer Garner,Mark Ruffalo,37000000,57139723,97658712,"Apr 23, 2004"
13 Sins,6.3,Horror,Daniel Stamm,Mark Webber,Devon Graye,4000000,9134,47552,"Apr 18, 2014"
15 Minutes,6.1,Action,John Herzfeld,Robert De Niro,Edward Burns,42000000,24375436,56331864,"Mar 9, 2001"
16 Blocks,6.6,Action,Richard Donner,Bruce Willis,Yasiin Bey,45000000,36895141,65595141,"Mar 3, 2006"
17 Again,6.4,Comedy,Burr Steers,Zac Efron,Matthew Perry,40000000,64167069,139474906,"Apr 17, 2009"
2 Fast 2 Furious,5.9,Action,John Singleton,Paul Walker,Tyrese Gibson,76000000,127120058,236410607,"Jun 6, 2003"
2 Guns,6.7,Action,Baltasar Kormakur,Denzel Washington,Mark Wahlberg,61000000,75612460,132493015,"Aug 2, 2013"
21 Grams,7.7,Crime,Alejandro G. Inarritu,Sean Penn,Benicio Del Toro,20000000,16248701,59667625,"Nov 21, 2003"
21 Jump Street,7.2,Action,Christopher Miller,Phil Lord,Channing Tatum,42000000,138447667,202812429,"Mar 16, 2012"
22 Jump Street,7,Action,Christopher Miller,Phil Lord,Jonah Hill,50000000,191719337,331333876,"Jun 13, 2014"
25th Hour,7.6,Drama,Spike Lee,Edward Norton,Barry Pepper,4500000,13084595,25344490,"Dec 19, 2002"
27 Dresses,6.1,Comedy,Anne Fletcher,Katherine Heigl,James Marsden,30000000,76808654,160247805,"Jan 18, 2008"
28 Days,6,Comedy,Betty Thomas,Sandra Bullock,Viggo Mortensen,43000000,37035515,62063972,"Apr 14, 2000"
28 Weeks Later,7,Drama,Juan Carlos Fresnadillo,Jeremy Renner,Rose Byrne,15000000,28638916,64232714,"May 11, 2007"
3 Days to Kill,6.2,Action,McG,Kevin Costner,Hailee Steinfeld,28000000,30697999,38959900,"Feb 21, 2014"
3:10 to Yuma,7.7,Action,James Mangold,Russell Crowe,Christian Bale,48000000,53606916,71171825,"Sep 7, 2007"
30 Days of Night,6.6,Action,David Slade,Josh Hartnett,Melissa George,30000000,39568996,80276156,"Oct 19, 2007"
30 Minutes or Less,6.1,Action,Ruben Fleischer,Jesse Eisenberg,Danny McBride,28000000,37053924,40966716,"Aug 12, 2011"
300: Rise of an Empire,6.2,Action,Noam Murro,Sullivan Stapleton,Eva Green,110000000,106580051,330780051,"Mar 7, 2014"
3000 Miles to Graceland,6,Action,Demian Lichtenstein,Kurt Russell,Kevin Costner,62000000,15738632,18708848,"Feb 23, 2001"
40 Days and 40 Nights,5.6,Comedy,Michael Lehmann,Josh Hartnett,Shannyn Sossamon,17000000,37939782,95092667,"Mar 1, 2002"
47 Ronin,6.3,Action,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,175000000,38362475,151716815,"Dec 25, 2013"
5 Days of War,5.6,Action,Renny Harlin,Rupert Friend,Emmanuelle Chriqui,12000000,17479,87793,"Aug 19, 2011"
50 First Dates,6.8,Comedy,Peter Segal,Adam Sandler,Drew Barrymore,75000000,120776832,196320329,"Feb 13, 2004"
50/50,7.7,Comedy,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,8000000,35016118,41334735,"Sep 30, 2011"
8 femmes,7.1,Comedy,Francois Ozon,Fanny Ardant,Emmanuelle Beart,8000000,3076425,42376425,"Sep 20, 2002"
8 Mile,7.1,Drama,Curtis Hanson,Eminem,Brittany Murphy,41000000,116724075,245768384,"Nov 8, 2002"
88 Minutes,5.9,Crime,Jon Avnet,Al Pacino,Alicia Witt,30000000,16930884,32955399,"Apr 18, 2008"
A Bad Moms Christmas,5.5,Comedy,Scott Moore,Jon Lucas,Kristen Bell,28000000,72110659,127710550,"Nov 1, 2017"
A Beautiful Mind,8.2,Biography,Ron Howard,Russell Crowe,Ed Harris,78000000,170708996,317668058,"Dec 21, 2001"
A Better Life,7.2,Drama,Chris Weitz,Demian Bichir,Jose Julian,10000000,1759252,1884251,"Jun 24, 2011"
A Cinderella Story,5.9,Comedy,Mark Rosman,Hilary Duff,Chad Michael Murray,19000000,51438175,70164105,"Jul 16, 2004"
A Dangerous Method,6.4,Biography,David Cronenberg,Michael Fassbender,Keira Knightley,20000000,5702083,14807531,"Nov 23, 2011"
A Few Best Men,5.7,Comedy,Stephan Elliott,Laura Brent,Xavier Samuel,15000000,0,17224539,"May 5, 2015"
A Ghost Story,6.8,Drama,David Lowery,Casey Affleck,Rooney Mara,100000,1594798,2769782,"Jul 7, 2017"
A Good Day to Die Hard,5.3,Action,John Moore,Bruce Willis,Jai Courtney,92000000,67349198,304249198,"Feb 14, 2013"
A Good Year,7,Comedy,Ridley Scott,Russell Crowe,Abbie Cornish,35000000,7459300,42064105,"Nov 10, 2006"
A Guy Thing,5.6,Comedy,Chris Koch,Jason Lee,Julia Stiles,20000000,15543862,17430594,"Jan 17, 2003"
A Haunted House,5,Comedy,Michael Tiddes,Marlon Wayans,Essence Atkins,2500000,40041683,59922558,"Jan 11, 2013"
A Haunted House 2,4.7,Comedy,Michael Tiddes,Marlon Wayans,Jaime Pressly,4000000,17329487,21206861,"Apr 18, 2014"
A History of Violence,7.4,Crime,David Cronenberg,Viggo Mortensen,Maria Bello,32000000,31493782,61477797,"Sep 23, 2005"
A Hologram for the King,6.1,Comedy,Tom Tykwer,Tom Hanks,Omar Elba,35000000,4212494,11846010,"Apr 22, 2016"
A Little Bit of Heaven,6.3,Comedy,Nicole Kassell,Kate Hudson,Gael Garcia Bernal,12500000,10011,1100287,"May 4, 2012"
A Lonely Place to Die,6.2,Adventure,Julian Gilbey,Alec Newman,Ed Speleers,4000000,0,442550,"Mar 20, 2012"
A Lot Like Love,6.6,Comedy,Nigel Cole,Ashton Kutcher,Amanda Peet,25000000,21835784,41921590,"Apr 22, 2005"
A Man Apart,6.1,Action,F. Gary Gray,Vin Diesel,Timothy Olyphant,36000000,26500000,43797731,"Apr 4, 2003"
A Mighty Heart,6.6,Biography,Michael Winterbottom,Angelina Jolie,Dan Futterman,15000000,9176787,19153568,"Jun 22, 2007"
A Mighty Wind,7.2,Comedy,Christopher Guest,Christopher Guest,Eugene Levy,6000000,17583468,18504539,"Apr 16, 2003"
A Million Ways to Die in the West,6.1,Comedy,Seth MacFarlane,Seth MacFarlane,Charlize Theron,40000000,42720965,86778557,"May 30, 2014"
A Monster Calls,7.5,Animation,J.A. Bayona,Lewis MacDougall,Sigourney Weaver,43000000,3740823,46414530,"Jan 6, 2017"
A Most Violent Year,7,Crime,J.C. Chandor,Oscar Isaac,Jessica Chastain,20000000,5749134,8846875,"Dec 31, 2014"
A Most Wanted Man,6.8,Crime,Anton Corbijn,Philip Seymour Hoffman,Rachel McAdams,15000000,17237855,36068890,"Jul 25, 2014"
A Nightmare on Elm Street,5.2,Crime,Samuel Bayer,Jackie Earle Haley,Rooney Mara,35000000,63075011,117729621,"Apr 30, 2010"
A Perfect Getaway,6.5,Mystery,David Twohy,Milla Jovovich,Steve Zahn,14000000,15515460,22815460,"Aug 7, 2009"
A Prairie Home Companion,6.8,Comedy,Robert Altman,Lily Tomlin,Meryl Streep,10000000,20342852,26716191,"Jun 9, 2006"
A Quiet Place,7.6,Drama,John Krasinski,Emily Blunt,John Krasinski,17000000,188024361,336157526,"Apr 6, 2018"
A Scanner Darkly,7.1,Animation,Richard Linklater,Keanu Reeves,Winona Ryder,20000000,5501616,7405084,"Jul 7, 2006"
A Serious Man,7,Comedy,Joel Coen,Ethan Coen,Richard Kind,7000000,9228788,30360570,"Oct 2, 2009"
A Simple Favor,6.8,Comedy,Paul Feig,Anna Kendrick,Blake Lively,20000000,53548586,97628717,"Sep 14, 2018"
